Approved Symbol	First Design
TRAF7	IMPACT-341
TRIP13	IMPACT-505
TSC1	IMPACT-341
TSC2	IMPACT-341
TSHR	IMPACT-341
U2AF1	IMPACT-341
UPF1	IMPACT-468
USP8	IMPACT-505
VEGFA	IMPACT-410
VHL	IMPACT-341
VTCN1	IMPACT-341
WHSC1	IMPACT-468
WHSC1L1	IMPACT-468
WT1	IMPACT-341
WWTR1	IMPACT-468
XIAP	IMPACT-341
XPO1	IMPACT-341
XRCC2	IMPACT-410
YAP1	IMPACT-341
YES1	IMPACT-341
ZFHX3	IMPACT-410
ZNRF3	IMPACT-505
ZRSR2	IMPACT-410
